id,original_name,generated_name,authors,year,name,journal
5047,Gift reciprocity,Gift Reciprocity,"Atreyi Kankanhalli, Kim Hee-Woong, So-Hyun Lee",2017,Examining Gifting Through Social Network Services: A Social Exchange Theory Perspective,Information Systems Research
5048,Symbolic representation,Symbolic Representation,"Atreyi Kankanhalli, Kim Hee-Woong, So-Hyun Lee",2017,Examining Gifting Through Social Network Services: A Social Exchange Theory Perspective,Information Systems Research
5049,Pleasure,Pleasure,"Atreyi Kankanhalli, Kim Hee-Woong, So-Hyun Lee",2017,Examining Gifting Through Social Network Services: A Social Exchange Theory Perspective,Information Systems Research
5050,Relationship support,Relationship Support,"Atreyi Kankanhalli, Kim Hee-Woong, So-Hyun Lee",2017,Examining Gifting Through Social Network Services: A Social Exchange Theory Perspective,Information Systems Research
5051,Convenience of gift purchase,Convenience of Gift Purchase,"Atreyi Kankanhalli, Kim Hee-Woong, So-Hyun Lee",2017,Examining Gifting Through Social Network Services: A Social Exchange Theory Perspective,Information Systems Research
5052,Immediacy of gift sending,Immediacy of Gift Sending,"Atreyi Kankanhalli, Kim Hee-Woong, So-Hyun Lee",2017,Examining Gifting Through Social Network Services: A Social Exchange Theory Perspective,Information Systems Research
5053,Impersonality,Impersonality,"Atreyi Kankanhalli, Kim Hee-Woong, So-Hyun Lee",2017,Examining Gifting Through Social Network Services: A Social Exchange Theory Perspective,Information Systems Research
5054,Perceived worth,Perceived Worth,"Atreyi Kankanhalli, Kim Hee-Woong, So-Hyun Lee",2017,Examining Gifting Through Social Network Services: A Social Exchange Theory Perspective,Information Systems Research
5055,Prior SNS gifting experience,Prior Social Network Service Gifting Experience,"Atreyi Kankanhalli, Kim Hee-Woong, So-Hyun Lee",2017,Examining Gifting Through Social Network Services: A Social Exchange Theory Perspective,Information Systems Research
5056,Number of SNS friends,Number of Social Network Service friends,"Atreyi Kankanhalli, Kim Hee-Woong, So-Hyun Lee",2017,Examining Gifting Through Social Network Services: A Social Exchange Theory Perspective,Information Systems Research
5057,Frequency of SNS gifting,Frequency of Social Network Service Gifting,"Atreyi Kankanhalli, Kim Hee-Woong, So-Hyun Lee",2017,Examining Gifting Through Social Network Services: A Social Exchange Theory Perspective,Information Systems Research
5058,Age,Age,"Atreyi Kankanhalli, Kim Hee-Woong, So-Hyun Lee",2017,Examining Gifting Through Social Network Services: A Social Exchange Theory Perspective,Information Systems Research
5059,Gender,Gender,"Atreyi Kankanhalli, Kim Hee-Woong, So-Hyun Lee",2017,Examining Gifting Through Social Network Services: A Social Exchange Theory Perspective,Information Systems Research
5060,Tenure of SNS use,Tenure of Social Network Service use,"Atreyi Kankanhalli, Kim Hee-Woong, So-Hyun Lee",2017,Examining Gifting Through Social Network Services: A Social Exchange Theory Perspective,Information Systems Research
5061,Frequency of SNS use,Frequency of Social Network Service use,"Atreyi Kankanhalli, Kim Hee-Woong, So-Hyun Lee",2017,Examining Gifting Through Social Network Services: A Social Exchange Theory Perspective,Information Systems Research
5062,Perceived price,Perceived price,"Atreyi Kankanhalli, Kim Hee-Woong, So-Hyun Lee",2017,Examining Gifting Through Social Network Services: A Social Exchange Theory Perspective,Information Systems Research
5063,Locational dispersion,Geographical Dispersion,"Saonee Sarker, Manju Ahuja, Suprateek Sarker",2018,Work–Life Conflict of Globally Distributed Software Development Personnel: An Empirical Investigation Using Border Theory,Information Systems Research
5064,Temporal dispersion,Temporal Dispersion,"Saonee Sarker, Manju Ahuja, Suprateek Sarker",2018,Work–Life Conflict of Globally Distributed Software Development Personnel: An Empirical Investigation Using Border Theory,Information Systems Research
5065,Flexibility of work schedule,Flexibility of work schedule,"Saonee Sarker, Manju Ahuja, Suprateek Sarker",2018,Work–Life Conflict of Globally Distributed Software Development Personnel: An Empirical Investigation Using Border Theory,Information Systems Research
5066,Use of agile methodologies,Use of Agile Methodologies,"Saonee Sarker, Manju Ahuja, Suprateek Sarker",2018,Work–Life Conflict of Globally Distributed Software Development Personnel: An Empirical Investigation Using Border Theory,Information Systems Research
5067,Supervisory support,Supervisory support,"Saonee Sarker, Manju Ahuja, Suprateek Sarker",2018,Work–Life Conflict of Globally Distributed Software Development Personnel: An Empirical Investigation Using Border Theory,Information Systems Research
5068,Organizational FFPs,Organizational Family Friendly Policies,"Saonee Sarker, Manju Ahuja, Suprateek Sarker",2018,Work–Life Conflict of Globally Distributed Software Development Personnel: An Empirical Investigation Using Border Theory,Information Systems Research
5069,Task dependency,Task Dependency,"Saonee Sarker, Manju Ahuja, Suprateek Sarker",2018,Work–Life Conflict of Globally Distributed Software Development Personnel: An Empirical Investigation Using Border Theory,Information Systems Research
5070,Requirements diversity,Requirements Diversity,"Saonee Sarker, Manju Ahuja, Suprateek Sarker",2018,Work–Life Conflict of Globally Distributed Software Development Personnel: An Empirical Investigation Using Border Theory,Information Systems Research
5071,Technology diversity,Technology Diversity,"Saonee Sarker, Manju Ahuja, Suprateek Sarker",2018,Work–Life Conflict of Globally Distributed Software Development Personnel: An Empirical Investigation Using Border Theory,Information Systems Research
5072,WLC,Work-life conflict,"Saonee Sarker, Manju Ahuja, Suprateek Sarker",2018,Work–Life Conflict of Globally Distributed Software Development Personnel: An Empirical Investigation Using Border Theory,Information Systems Research
5073,Turnover intentions,Turnover intentions,"Saonee Sarker, Manju Ahuja, Suprateek Sarker",2018,Work–Life Conflict of Globally Distributed Software Development Personnel: An Empirical Investigation Using Border Theory,Information Systems Research
5074,Performance,Performance,"Saonee Sarker, Manju Ahuja, Suprateek Sarker",2018,Work–Life Conflict of Globally Distributed Software Development Personnel: An Empirical Investigation Using Border Theory,Information Systems Research
5075,Gender,Gender,"Saonee Sarker, Manju Ahuja, Suprateek Sarker",2018,Work–Life Conflict of Globally Distributed Software Development Personnel: An Empirical Investigation Using Border Theory,Information Systems Research
5076,Care for dependents,Care for Dependents,"Saonee Sarker, Manju Ahuja, Suprateek Sarker",2018,Work–Life Conflict of Globally Distributed Software Development Personnel: An Empirical Investigation Using Border Theory,Information Systems Research
5077,Experience in distributed software development,Experience in Distributed Software Development,"Saonee Sarker, Manju Ahuja, Suprateek Sarker",2018,Work–Life Conflict of Globally Distributed Software Development Personnel: An Empirical Investigation Using Border Theory,Information Systems Research
5078,Role,Type of Role Played,"Saonee Sarker, Manju Ahuja, Suprateek Sarker",2018,Work–Life Conflict of Globally Distributed Software Development Personnel: An Empirical Investigation Using Border Theory,Information Systems Research
5079,Country,Country,"Saonee Sarker, Manju Ahuja, Suprateek Sarker",2018,Work–Life Conflict of Globally Distributed Software Development Personnel: An Empirical Investigation Using Border Theory,Information Systems Research
5080,Requirements instability,Requirements Instability,"Saonee Sarker, Manju Ahuja, Suprateek Sarker",2018,Work–Life Conflict of Globally Distributed Software Development Personnel: An Empirical Investigation Using Border Theory,Information Systems Research
5081,Intellectual alignment,Intellectual Alignment,"Huigang Liang, Nianxin Wang, Yajiong Xue, Shilun Ge",2017,Unraveling the Alignment Paradox: How Does Business—IT Alignment Shape Organizational Agility?,Information Systems Research
5082,Social alignment,Social Alignment,"Huigang Liang, Nianxin Wang, Yajiong Xue, Shilun Ge",2017,Unraveling the Alignment Paradox: How Does Business—IT Alignment Shape Organizational Agility?,Information Systems Research
5083,Inertia,Inertia,"Huigang Liang, Nianxin Wang, Yajiong Xue, Shilun Ge",2017,Unraveling the Alignment Paradox: How Does Business—IT Alignment Shape Organizational Agility?,Information Systems Research
5084,Emergent coordination,Emergent Coordination,"Huigang Liang, Nianxin Wang, Yajiong Xue, Shilun Ge",2017,Unraveling the Alignment Paradox: How Does Business—IT Alignment Shape Organizational Agility?,Information Systems Research
5085,Agility,Agility,"Huigang Liang, Nianxin Wang, Yajiong Xue, Shilun Ge",2017,Unraveling the Alignment Paradox: How Does Business—IT Alignment Shape Organizational Agility?,Information Systems Research
5091,Computer Self-Efficacy,Self-efficacy reflects an individual's beliefs about his or [truncated],"Deborah Compeau, Christopher A. Higgins, Sid L. Huff",1999,Social Cognitive Theory and Individual Reactions to Computing Technology: A Longitudinal Study,MIS Quarterly
5092,Outcome Expectation (Performance),Outcome Expectation Performance,"Deborah Compeau, Christopher A. Higgins, Sid L. Huff",1999,Social Cognitive Theory and Individual Reactions to Computing Technology: A Longitudinal Study,MIS Quarterly
5093,Outcome Expectations (Personal),Outcome Expectations Personal,"Deborah Compeau, Christopher A. Higgins, Sid L. Huff",1999,Social Cognitive Theory and Individual Reactions to Computing Technology: A Longitudinal Study,MIS Quarterly
5094,Affect,Affect represents the positive side-the enjoyment a person [truncated],"Deborah Compeau, Christopher A. Higgins, Sid L. Huff",1999,Social Cognitive Theory and Individual Reactions to Computing Technology: A Longitudinal Study,MIS Quarterly
5095,Anxiety,Anxiety,"Deborah Compeau, Christopher A. Higgins, Sid L. Huff",1999,Social Cognitive Theory and Individual Reactions to Computing Technology: A Longitudinal Study,MIS Quarterly
5096,Usage,Use represents the degree of use of computers [truncated],"Deborah Compeau, Christopher A. Higgins, Sid L. Huff",1999,Social Cognitive Theory and Individual Reactions to Computing Technology: A Longitudinal Study,MIS Quarterly
5097,Human-Like Trust,Human Like Trust,"Nancy K Lankton, D. Harrison Mcknight, John F. Tripp",2015,"Technology, Humanness, and Trust: Rethinking Trust in Technology",Journal of the Association for Information Systems
5098,System-Like Trust,System Like Trust,"Nancy K Lankton, D. Harrison Mcknight, John F. Tripp",2015,"Technology, Humanness, and Trust: Rethinking Trust in Technology",Journal of the Association for Information Systems
5099,Competence,the belief that the trustee has the ability [truncated],"Nancy K Lankton, D. Harrison Mcknight, John F. Tripp",2015,"Technology, Humanness, and Trust: Rethinking Trust in Technology",Journal of the Association for Information Systems
5100,Benevolence,Benevolence,"Nancy K Lankton, D. Harrison Mcknight, John F. Tripp",2015,"Technology, Humanness, and Trust: Rethinking Trust in Technology",Journal of the Association for Information Systems
5101,Integrity,Integrity,"Nancy K Lankton, D. Harrison Mcknight, John F. Tripp",2015,"Technology, Humanness, and Trust: Rethinking Trust in Technology",Journal of the Association for Information Systems
5102,Functionality,the belief that the specific technology has the [truncated],"Nancy K Lankton, D. Harrison Mcknight, John F. Tripp",2015,"Technology, Humanness, and Trust: Rethinking Trust in Technology",Journal of the Association for Information Systems
5103,Helpfulness,the belief that the specific technology provides adequate [truncated],"Nancy K Lankton, D. Harrison Mcknight, John F. Tripp",2015,"Technology, Humanness, and Trust: Rethinking Trust in Technology",Journal of the Association for Information Systems
5104,Reliability,the belief that the specific technology will consistently [truncated],"Nancy K Lankton, D. Harrison Mcknight, John F. Tripp",2015,"Technology, Humanness, and Trust: Rethinking Trust in Technology",Journal of the Association for Information Systems
5105,Usefulness,Usefulness,"Nancy K Lankton, D. Harrison Mcknight, John F. Tripp",2015,"Technology, Humanness, and Trust: Rethinking Trust in Technology",Journal of the Association for Information Systems
5106,Enjoyment,Usefulness and enjoyment represent general behavioral beliefs because [truncated],"Nancy K Lankton, D. Harrison Mcknight, John F. Tripp",2015,"Technology, Humanness, and Trust: Rethinking Trust in Technology",Journal of the Association for Information Systems
5107,Trusting Intention,Trusting Intention,"Nancy K Lankton, D. Harrison Mcknight, John F. Tripp",2015,"Technology, Humanness, and Trust: Rethinking Trust in Technology",Journal of the Association for Information Systems
5108,Continuance Intention,Behavioral intent to continue using an IT over [truncated],"Nancy K Lankton, D. Harrison Mcknight, John F. Tripp",2015,"Technology, Humanness, and Trust: Rethinking Trust in Technology",Journal of the Association for Information Systems
5109,Age,Age,"Nancy K Lankton, D. Harrison Mcknight, John F. Tripp",2015,"Technology, Humanness, and Trust: Rethinking Trust in Technology",Journal of the Association for Information Systems
5110,Gender,Gender,"Nancy K Lankton, D. Harrison Mcknight, John F. Tripp",2015,"Technology, Humanness, and Trust: Rethinking Trust in Technology",Journal of the Association for Information Systems
5111,Experience,Experience,"Nancy K Lankton, D. Harrison Mcknight, John F. Tripp",2015,"Technology, Humanness, and Trust: Rethinking Trust in Technology",Journal of the Association for Information Systems
5112,Disposition to trust,Disposition to Trust,"Nancy K Lankton, D. Harrison Mcknight, John F. Tripp",2015,"Technology, Humanness, and Trust: Rethinking Trust in Technology",Journal of the Association for Information Systems
5113,Cloud Technological Capability,Cloud Technological Capability,"Abhishek Kathuria, Arti Mann, Jiban Khuntia, Terence J.V. Saldanha & Robert J. Kauffman",2018,A Strategic Value Appropriation Path for Cloud Computing,Journal of Management Information Systems
5114,Cloud Service Portfolio Capability,Cloud Service Portfolio Capability,"Abhishek Kathuria, Arti Mann, Jiban Khuntia, Terence J.V. Saldanha & Robert J. Kauffman",2018,A Strategic Value Appropriation Path for Cloud Computing,Journal of Management Information Systems
5115,Cloud Integration Capability,Cloud Integration Capability,"Abhishek Kathuria, Arti Mann, Jiban Khuntia, Terence J.V. Saldanha & Robert J. Kauffman",2018,A Strategic Value Appropriation Path for Cloud Computing,Journal of Management Information Systems
5116,Business Flexibility,Business Flexibility,"Abhishek Kathuria, Arti Mann, Jiban Khuntia, Terence J.V. Saldanha & Robert J. Kauffman",2018,A Strategic Value Appropriation Path for Cloud Computing,Journal of Management Information Systems
5117,Firm Performance,Firm Performance,"Abhishek Kathuria, Arti Mann, Jiban Khuntia, Terence J.V. Saldanha & Robert J. Kauffman",2018,A Strategic Value Appropriation Path for Cloud Computing,Journal of Management Information Systems
5118,Perceived Learning Benefits,Perceived Learning Benefits,"Kexin Zhao, Mu Xia, and Michael J. Shaw",2011,What Motivates Firms to Contribute to Consortium-Based E‑Business Standardization?,Journal of Management Information Systems
5119,Perceived Social Capital Benefits,Perceived Social Capital Benefits,"Kexin Zhao, Mu Xia, and Michael J. Shaw",2011,What Motivates Firms to Contribute to Consortium-Based E‑Business Standardization?,Journal of Management Information Systems
5120,Perceived Standard Benefits,Perceived Standard Benefits,"Kexin Zhao, Mu Xia, and Michael J. Shaw",2011,What Motivates Firms to Contribute to Consortium-Based E‑Business Standardization?,Journal of Management Information Systems
5121,Perceived Process Benefits,Perceived Process Benefits,"Kexin Zhao, Mu Xia, and Michael J. Shaw",2011,What Motivates Firms to Contribute to Consortium-Based E‑Business Standardization?,Journal of Management Information Systems
5122,Technical Resources,Technical Resources,"Kexin Zhao, Mu Xia, and Michael J. Shaw",2011,What Motivates Firms to Contribute to Consortium-Based E‑Business Standardization?,Journal of Management Information Systems
5123,Consortium Management,Consortium Management Effectiveness,"Kexin Zhao, Mu Xia, and Michael J. Shaw",2011,What Motivates Firms to Contribute to Consortium-Based E‑Business Standardization?,Journal of Management Information Systems
5124,Firm Contribution,Firm Contribution Level,"Kexin Zhao, Mu Xia, and Michael J. Shaw",2011,What Motivates Firms to Contribute to Consortium-Based E‑Business Standardization?,Journal of Management Information Systems
5125,Firm Size,Firm size,"Kexin Zhao, Mu Xia, and Michael J. Shaw",2011,What Motivates Firms to Contribute to Consortium-Based E‑Business Standardization?,Journal of Management Information Systems
5126,Firm History,Firm History,"Kexin Zhao, Mu Xia, and Michael J. Shaw",2011,What Motivates Firms to Contribute to Consortium-Based E‑Business Standardization?,Journal of Management Information Systems
5127,Consortium Size,Consortium Size,"Kexin Zhao, Mu Xia, and Michael J. Shaw",2011,What Motivates Firms to Contribute to Consortium-Based E‑Business Standardization?,Journal of Management Information Systems
5128,Consortium History,Consortium History,"Kexin Zhao, Mu Xia, and Michael J. Shaw",2011,What Motivates Firms to Contribute to Consortium-Based E‑Business Standardization?,Journal of Management Information Systems
5129,Industry Concentration,Industry Concentration Ratio,"Kexin Zhao, Mu Xia, and Michael J. Shaw",2011,What Motivates Firms to Contribute to Consortium-Based E‑Business Standardization?,Journal of Management Information Systems
5130,Industry IT Intensity,Industry Information Technology Intensity,"Kexin Zhao, Mu Xia, and Michael J. Shaw",2011,What Motivates Firms to Contribute to Consortium-Based E‑Business Standardization?,Journal of Management Information Systems
5131,Institutionalize processes for monitoring EA standards,Institutionalize Processes for Monitoring Enterprise Architecture Standards Setting [truncated],"Wai Fong Boh, Daniel Yellin",2007,Using Enterprise Architecture Standards in Managing Information Technology,Journal of Management Information Systems
5132,Centralize IT infrastructure management,Centralization of IT Infrastructure Management,"Wai Fong Boh, Daniel Yellin",2007,Using Enterprise Architecture Standards in Managing Information Technology,Journal of Management Information Systems
5133,Define key architecture roles,Define Key Architecture Roles,"Wai Fong Boh, Daniel Yellin",2007,Using Enterprise Architecture Standards in Managing Information Technology,Journal of Management Information Systems
5134,Involve Stakeholders through liaison roles and direct communication,Involving Stakeholders through Liaison Roles and Direct Communication,"Wai Fong Boh, Daniel Yellin",2007,Using Enterprise Architecture Standards in Managing Information Technology,Journal of Management Information Systems
5135,Centralize IT application development,Centralized IT Application Development,"Wai Fong Boh, Daniel Yellin",2007,Using Enterprise Architecture Standards in Managing Information Technology,Journal of Management Information Systems
5136,EA standards for physical IT infrastructure,Enterprise Architecture standards for physical Information Technology infrastructure [truncated],"Wai Fong Boh, Daniel Yellin",2007,Using Enterprise Architecture Standards in Managing Information Technology,Journal of Management Information Systems
5137,EA standards for human IT infrastructure,Enterprise Architecture standards for human Information Technology infrastructure [truncated],"Wai Fong Boh, Daniel Yellin",2007,Using Enterprise Architecture Standards in Managing Information Technology,Journal of Management Information Systems
5138,EA standards for integrating business applications,Enterprise Architecture standards for integrating business applications,"Wai Fong Boh, Daniel Yellin",2007,Using Enterprise Architecture Standards in Managing Information Technology,Journal of Management Information Systems
5139,EA standards for data integration,Enterprise Architecture standards for enterprise data integration,"Wai Fong Boh, Daniel Yellin",2007,Using Enterprise Architecture Standards in Managing Information Technology,Journal of Management Information Systems
5140,Heterogeneity of physical IT infrastructure,Heterogeneity of Physical Information Technology Infrastructure,"Wai Fong Boh, Daniel Yellin",2007,Using Enterprise Architecture Standards in Managing Information Technology,Journal of Management Information Systems
5141,Replication of IT infrastructure services,Replication of Information Technology Infrastructure Services,"Wai Fong Boh, Daniel Yellin",2007,Using Enterprise Architecture Standards in Managing Information Technology,Journal of Management Information Systems
5142,Business applications integration,Business Applications Integration,"Wai Fong Boh, Daniel Yellin",2007,Using Enterprise Architecture Standards in Managing Information Technology,Journal of Management Information Systems
5143,Enterprise data integration,Enterprise Data Integration,"Wai Fong Boh, Daniel Yellin",2007,Using Enterprise Architecture Standards in Managing Information Technology,Journal of Management Information Systems
5144,Top management support,Top Management Support,"Wai Fong Boh, Daniel Yellin",2007,Using Enterprise Architecture Standards in Managing Information Technology,Journal of Management Information Systems
5145,Banking and insurance industry,Banking and Insurance Industry,"Wai Fong Boh, Daniel Yellin",2007,Using Enterprise Architecture Standards in Managing Information Technology,Journal of Management Information Systems
5146,Years of architecture experience,Years of Architecture Experience,"Wai Fong Boh, Daniel Yellin",2007,Using Enterprise Architecture Standards in Managing Information Technology,Journal of Management Information Systems
5147,Problems with legacy systems,Problems with Legacy Systems,"Wai Fong Boh, Daniel Yellin",2007,Using Enterprise Architecture Standards in Managing Information Technology,Journal of Management Information Systems
5148,Importance of EA objective,Importance of Enterprise Architecture Objective,"Wai Fong Boh, Daniel Yellin",2007,Using Enterprise Architecture Standards in Managing Information Technology,Journal of Management Information Systems
5149,Design expectations fit,Design Expectations Fit,"Paul Benjamin Lowry, James Eric Gaskin, Gregory Daniel Moody",2015,Proposing the Multimotive Information Systems Continuance Model (MISC) to Better Explain End- User System Evaluations and Continuance Intentions,Journal of the Association for Information Systems
5150,Design aesthetics,Design Aesthetics,"Paul Benjamin Lowry, James Eric Gaskin, Gregory Daniel Moody",2015,Proposing the Multimotive Information Systems Continuance Model (MISC) to Better Explain End- User System Evaluations and Continuance Intentions,Journal of the Association for Information Systems
5151,Perceived ease of use,Perceived Ease of Use,"Paul Benjamin Lowry, James Eric Gaskin, Gregory Daniel Moody",2015,Proposing the Multimotive Information Systems Continuance Model (MISC) to Better Explain End- User System Evaluations and Continuance Intentions,Journal of the Association for Information Systems
5152,Enjoyent disconfirmation,Enjoyment disconfirmation,"Paul Benjamin Lowry, James Eric Gaskin, Gregory Daniel Moody",2015,Proposing the Multimotive Information Systems Continuance Model (MISC) to Better Explain End- User System Evaluations and Continuance Intentions,Journal of the Association for Information Systems
5153,Enjoyment(t1),Enjoyment,"Paul Benjamin Lowry, James Eric Gaskin, Gregory Daniel Moody",2015,Proposing the Multimotive Information Systems Continuance Model (MISC) to Better Explain End- User System Evaluations and Continuance Intentions,Journal of the Association for Information Systems
5154,Enjoyment(t2),Enjoyment,"Paul Benjamin Lowry, James Eric Gaskin, Gregory Daniel Moody",2015,Proposing the Multimotive Information Systems Continuance Model (MISC) to Better Explain End- User System Evaluations and Continuance Intentions,Journal of the Association for Information Systems
5155,Attitude(t1),Attitude at time 1,"Paul Benjamin Lowry, James Eric Gaskin, Gregory Daniel Moody",2015,Proposing the Multimotive Information Systems Continuance Model (MISC) to Better Explain End- User System Evaluations and Continuance Intentions,Journal of the Association for Information Systems
5156,Attitude(t2),Attitude at time two,"Paul Benjamin Lowry, James Eric Gaskin, Gregory Daniel Moody",2015,Proposing the Multimotive Information Systems Continuance Model (MISC) to Better Explain End- User System Evaluations and Continuance Intentions,Journal of the Association for Information Systems
5157,Satisfaction,Satisfaction,"Paul Benjamin Lowry, James Eric Gaskin, Gregory Daniel Moody",2015,Proposing the Multimotive Information Systems Continuance Model (MISC) to Better Explain End- User System Evaluations and Continuance Intentions,Journal of the Association for Information Systems
5158,Intention to continue,Intention to Continue,"Paul Benjamin Lowry, James Eric Gaskin, Gregory Daniel Moody",2015,Proposing the Multimotive Information Systems Continuance Model (MISC) to Better Explain End- User System Evaluations and Continuance Intentions,Journal of the Association for Information Systems
5159,Age,Age,"Paul Benjamin Lowry, James Eric Gaskin, Gregory Daniel Moody",2015,Proposing the Multimotive Information Systems Continuance Model (MISC) to Better Explain End- User System Evaluations and Continuance Intentions,Journal of the Association for Information Systems
5160,Education level,Education level,"Paul Benjamin Lowry, James Eric Gaskin, Gregory Daniel Moody",2015,Proposing the Multimotive Information Systems Continuance Model (MISC) to Better Explain End- User System Evaluations and Continuance Intentions,Journal of the Association for Information Systems
5161,Computer experience,Computer Experience,"Paul Benjamin Lowry, James Eric Gaskin, Gregory Daniel Moody",2015,Proposing the Multimotive Information Systems Continuance Model (MISC) to Better Explain End- User System Evaluations and Continuance Intentions,Journal of the Association for Information Systems
5162,Gender,Gender,"Paul Benjamin Lowry, James Eric Gaskin, Gregory Daniel Moody",2015,Proposing the Multimotive Information Systems Continuance Model (MISC) to Better Explain End- User System Evaluations and Continuance Intentions,Journal of the Association for Information Systems
5165,Learning(t1),System Learning,"Paul Benjamin Lowry, James Eric Gaskin, Gregory Daniel Moody",2015,Proposing the Multimotive Information Systems Continuance Model (MISC) to Better Explain End- User System Evaluations and Continuance Intentions,Journal of the Association for Information Systems
5166,Learning(t2),System Learning,"Paul Benjamin Lowry, James Eric Gaskin, Gregory Daniel Moody",2015,Proposing the Multimotive Information Systems Continuance Model (MISC) to Better Explain End- User System Evaluations and Continuance Intentions,Journal of the Association for Information Systems
5167,Usefulness(t1),Usefulness at time 1,"Paul Benjamin Lowry, James Eric Gaskin, Gregory Daniel Moody",2015,Proposing the Multimotive Information Systems Continuance Model (MISC) to Better Explain End- User System Evaluations and Continuance Intentions,Journal of the Association for Information Systems
5168,Usefulness(t2),Usefulness,"Paul Benjamin Lowry, James Eric Gaskin, Gregory Daniel Moody",2015,Proposing the Multimotive Information Systems Continuance Model (MISC) to Better Explain End- User System Evaluations and Continuance Intentions,Journal of the Association for Information Systems
5169,Performance(secondary),Secondary Performance,"Paul Benjamin Lowry, James Eric Gaskin, Gregory Daniel Moody",2015,Proposing the Multimotive Information Systems Continuance Model (MISC) to Better Explain End- User System Evaluations and Continuance Intentions,Journal of the Association for Information Systems
5170,Performance(tertiary),Tertiary Performance Belief,"Paul Benjamin Lowry, James Eric Gaskin, Gregory Daniel Moody",2015,Proposing the Multimotive Information Systems Continuance Model (MISC) to Better Explain End- User System Evaluations and Continuance Intentions,Journal of the Association for Information Systems
5171,Learning disconfirmation,Learning Disconfirmation,"Paul Benjamin Lowry, James Eric Gaskin, Gregory Daniel Moody",2015,Proposing the Multimotive Information Systems Continuance Model (MISC) to Better Explain End- User System Evaluations and Continuance Intentions,Journal of the Association for Information Systems
5172,Usefulness disconfirmation,Usefulness Disconfirmation,"Paul Benjamin Lowry, James Eric Gaskin, Gregory Daniel Moody",2015,Proposing the Multimotive Information Systems Continuance Model (MISC) to Better Explain End- User System Evaluations and Continuance Intentions,Journal of the Association for Information Systems
5173,IT Feature Use Intercept,Information Technology Feature Use Intercept,Alexander Benlian,2015,IT Feature Use over Time and its Impact on Individual Task Performance,Journal of the Association for Information Systems
5174,IT Feature Use Slope,Information Technology Feature Use Slope,Alexander Benlian,2015,IT Feature Use over Time and its Impact on Individual Task Performance,Journal of the Association for Information Systems
5175,Perceived Usefulness Intercept,Initial Level of Perceived Usefulness,Alexander Benlian,2015,IT Feature Use over Time and its Impact on Individual Task Performance,Journal of the Association for Information Systems
5176,Perceived Usefulness Slope,Perceived Usefulness Growth Rate,Alexander Benlian,2015,IT Feature Use over Time and its Impact on Individual Task Performance,Journal of the Association for Information Systems
5177,EIntercept,Error Intercept,Alexander Benlian,2015,IT Feature Use over Time and its Impact on Individual Task Performance,Journal of the Association for Information Systems
5178,ESlope,Growth Slope,Alexander Benlian,2015,IT Feature Use over Time and its Impact on Individual Task Performance,Journal of the Association for Information Systems
5179,Task Performance,Individual Task Performance,Alexander Benlian,2015,IT Feature Use over Time and its Impact on Individual Task Performance,Journal of the Association for Information Systems
5180,Awareness of members' skills,Awareness of Members' Skills,"Xue Yang, Yu Tong, Hock Hai Teo",2015,Fostering Fast-response Spontaneous Virtual Team: Effects of Member Skill Awareness and Shared Governance on Team Cohesion and Outcomes,Journal of the Association for Information Systems
5181,Perception of shared governance,Perception of Shared Governance,"Xue Yang, Yu Tong, Hock Hai Teo",2015,Fostering Fast-response Spontaneous Virtual Team: Effects of Member Skill Awareness and Shared Governance on Team Cohesion and Outcomes,Journal of the Association for Information Systems
5182,Perceived task cohesion,Perceived Task Cohesion,"Xue Yang, Yu Tong, Hock Hai Teo",2015,Fostering Fast-response Spontaneous Virtual Team: Effects of Member Skill Awareness and Shared Governance on Team Cohesion and Outcomes,Journal of the Association for Information Systems
5183,Team size,Team size,"Xue Yang, Yu Tong, Hock Hai Teo",2015,Fostering Fast-response Spontaneous Virtual Team: Effects of Member Skill Awareness and Shared Governance on Team Cohesion and Outcomes,Journal of the Association for Information Systems
5184,Team performance,Team Performance,"Xue Yang, Yu Tong, Hock Hai Teo",2015,Fostering Fast-response Spontaneous Virtual Team: Effects of Member Skill Awareness and Shared Governance on Team Cohesion and Outcomes,Journal of the Association for Information Systems
5185,Satisfaction toward team members,Satisfaction with team members,"Xue Yang, Yu Tong, Hock Hai Teo",2015,Fostering Fast-response Spontaneous Virtual Team: Effects of Member Skill Awareness and Shared Governance on Team Cohesion and Outcomes,Journal of the Association for Information Systems
5186,Propensity to reunite with team members,Propensity to Reunite with Team Members,"Xue Yang, Yu Tong, Hock Hai Teo",2015,Fostering Fast-response Spontaneous Virtual Team: Effects of Member Skill Awareness and Shared Governance on Team Cohesion and Outcomes,Journal of the Association for Information Systems
5187,Age,Age,"Xue Yang, Yu Tong, Hock Hai Teo",2015,Fostering Fast-response Spontaneous Virtual Team: Effects of Member Skill Awareness and Shared Governance on Team Cohesion and Outcomes,Journal of the Association for Information Systems
5188,Income,Annual Personal Income,"Xue Yang, Yu Tong, Hock Hai Teo",2015,Fostering Fast-response Spontaneous Virtual Team: Effects of Member Skill Awareness and Shared Governance on Team Cohesion and Outcomes,Journal of the Association for Information Systems
5189,Education,Education,"Xue Yang, Yu Tong, Hock Hai Teo",2015,Fostering Fast-response Spontaneous Virtual Team: Effects of Member Skill Awareness and Shared Governance on Team Cohesion and Outcomes,Journal of the Association for Information Systems
